key,ru,en,hy,hi
Mg_welcome,"Приветствую!
Меня зовут Renty :)
Я создан для того, чтобы помогать хорошим людям находить жильё в Ереване.
Мой функционал должен быть прост и понятен (так думает мой создатель), но если вы испытываете трудности,то можете обратиться с вопросом в поддержку /support
Удачи в поисках!
","Greetings!
My name is Renty :)
I'm created to assist good people in finding accommodation in Yerevan.
My functionality should be simple and clear (that's what my creator thinks), but if you encounter difficulties, feel free to ask a question in support /support
Good luck with your search!
","Ողջույն!
Իմ անունը Renty է :)
Ես ստեղծվել եմ, որպեսզի օգնեմ լավ մարդկանց բնակարան գտնել Երևանում:
Իմ ֆունկցիոնալությունը պետք է լինի պարզ և հասկանալի (իմ ստեղծողը այդպես է կարծում), բայց եթե կլինեն դժվարություններ, կարող եք դիմել աջակցության համար/support
Հաջողություն որոնումներում!","नमस्ते!
मेरा नाम रेन्टी है :)
मैं अच्छे लोगों को येरेवान में आवास ढूंढने में मदद करने के लिए बनाया गया हूँ।
मेरा कार्यक्षमता सरल और स्पष्ट होनी चाहिए (यही मेरे निर्माता का विचार है), लेकिन यदि आप किसी कठिनाई का सामना करते हैं, तो कृपया समर्थन / समर्थन में सवाल पूछें।
आपके खोज में शुभकामनाएँ!"
Kb_start_menu,Что пожелаете?,What would you like?,Ի՞նչ կցանկանաք:,क्या आपको चाहिए?
Btn_create_filter,Создать фильтр ➕,Create filter ➕,Ստեղծել ֆիլտր➕,़िल्टर बनाएँ ➕
Btn_my_filters,Мои фильтры 🔍,My filters 🔍,Իմ ֆիլտրերը 🔍,मेरे फ़िल्टर 🔍
Btn_premium,Премиум 🌟,Premium 🌟,Պրեմիում🌟,प्रीमियम 🌟
Btn_continue,Начать!,Start!,Սկսել!,शुरू करें!
Kb_stop,"Вы попросили помолчать :(
Нажмите кнопку ""Начать"", чтобы я снова заговорил
","You asked to be silent.
Press the ""Start"" button for me to speak again.
","Դուք խնդրել եք լռել։
Սեղմեք ""Սկսել"" կոճակը, որպեսզի ես նորից կարողանամ խոսել","आपने खामोशी के लिए कहा। मुझे फिर से बोलने के लिए ""शुरू"" बटन दबाएं।"
Mg_already_started,"Вы меня уже запустили :)
Возможно, вы ищите кнопку меню? Она тут
👇","You've already started me :)
Perhaps you're looking for the menu button? It's right here
👇","Դուք արդեն ինձ միացրել եք :)
Գուցե փնտրում եք Մենյուի կոճակը։ Այն այստեղ է
👇","आपने मुझे पहले ही चालू किया है :)
संभवतः, आप मेनू बटन ढूंढ रहे हैं? यहाँ है
👇"
Mg_tutor_off,Обучение отключено. Приятного пользования!,Training disabled. Enjoy your experience!,Ուսուցումն անջատված է։ Հաճելի օգտագործում!,प्रशिक्षण अक्षम किया गया है। अपना अनुभव आनंद लें!
Kb_silence,"Хорошо, помолчу","Alright, I'll be quiet.","Լավ, լռում եմ։","ठीक है, मैं खामोश हो जाऊंगा।"
Mg_all_filters_deleted,Все фильтры успешно удалены,All filters successfully deleted.,Բոլոր ֆիլտրերը հաջողությամբ ջնջվել են։,सभी फ़िल्टर सफलतापूर्वक हटा दिए गए।
